ID,NAME,ADDRESS,STATE,LATITUDE,LONGITUDE,TYPE
63072758,MERCY HOSPITAL ROGERS,2710 RIFE MEDICAL LANE,AR,36.3089928530001,-94.18297802,HOSPITAL
31233525,ADVENT HEALTH DADE CITY,13100 FORT KING RD,FL,28.3479628600001,-82.20072007999991,HOSPITAL
7233484,DELRAY MEDICAL CENTER,5352 LINTON BLVD,FL,26.437192841000098,-80.127787747,HOSPITAL
36034758,POINCIANA MEDICAL CENTER,325 CYPRESS PKWY,FL,28.144780763000004,-81.476687855,HOSPITAL
36232068,ASSENCION ST. VINCENT'S MEDICAL CENTER CLAY COUNTY,1670 ST. VINCENT'S WAY,FL,30.108762428000002,-81.832688692,HOSPITAL
36334471,ENCOMPASS HEALTH REHABILITATION HOSPITAL OF OCALA,2275 SW 22ND LANE,FL,29.165875541,-82.1623349449999,HOSPITAL
36634997,ENCOMPASS HEALTH REHABILITATION HOSPITAL AT MARTIN HEALTH,5850 SE COMMUNITY DR,FL,27.133437293000004,-80.222455815,HOSPITAL
372903,MERCY HOSPITAL FORT SMITH,7301 ROGERS AVENUE,AR,35.355865991,-94.352054967,HOSPITAL
7472901,HEALTHSOUTH REHABILITATION HOSPITAL OF FORT SMITH,1401 SOUTH J STREET,AR,35.3739403050001,-94.41875448199991,HOSPITAL
9700000,WHITE COUNTY MEDICAL CENTER - SOUTH CAMPUS,1200 SOUTH MAIN STREET,AR,35.2340944110001,-91.731074311,HOSPITAL
10172143,WHITE COUNTY MEDICAL CENTER - NORTH CAMPUS,3214 EAST RACE AVENUE,AR,35.2518860440001,-91.69700113100001,HOSPITAL
10272834,RIVER VALLEY MEDICAL CENTER,200 NORTH THIRD STREET,AR,35.220476139,-93.157298166,HOSPITAL
2271923,BAPTIST HEALTH MEDICAL CENTER - ARKADELPHIA,3050 TWIN RIVERS DRIVE,AR,34.1229135660001,-93.088824163,HOSPITAL
872616,MERCY HOSPITAL BERRYVILLE,214 CARTER STREET,AR,36.359062103,-93.551825772,HOSPITAL
1072632,EUREKA SPRINGS HOSPITAL,24 NORRIS STREET,AR,36.400163789000004,-93.744235921,HOSPITAL
2871653,SOUTHEAST REHABILITATION HOSPITAL,2729A HWY 65 & 82 S,AR,33.306293968,-91.289589924,HOSPITAL
671671,BRADLEY COUNTY MEDICAL CENTER,404 SOUTH BRADLEY STREET,AR,33.6103641340001,-92.059254885,HOSPITAL
8872455,FIVE RIVER MEDICAL CENTER,2801 MEDICAL CENTER DRIVE,AR,36.289760273000105,-90.99738763,HOSPITAL
2571742,DALLAS COUNTY MEDICAL CENTER,201 NORTH CLIFTON STREET,AR,33.81085539,-92.42558764399999,HOSPITAL
4100000,CRITTENDEN HOSPITAL ASSOCIATION,200 WEST TYLER AVENUE,AR,35.1431102350001,-90.18909851099991,HOSPITAL
6171701,OUACHITA CO. MEDICAL CENTER,638 CALIFORNIA AVENUE,AR,33.5758211300001,-92.8367393299999,HOSPITAL
572601,NORTH ARKANSAS REGIONAL MEDICAL CENTER,620 NORTH WILLOW,AR,36.2365313550001,-93.1091393739999,HOSPITAL
